region,country,lakeno,year,mesh,lakearea,waterdepth,tn,tp,elev,lat,long,source,S_PIE,S,N,S_n
Temperate,Denmark,DK_1009,2004,212,3.48,3.61,0.81,0.04,15,56.818,8.7313,erik,5.239776668,8,3022,7.997459451
Temperate,Denmark,DK_1009,2005,212,3.48,3.61,0.77,0.03,15,56.818,8.7313,erik,3.130681161,10,5025,9.978965039
Temperate,Denmark,DK_1009,2006,212,3.48,3.61,0.69,0.02,15,56.818,8.7313,erik,5.916517871,17,6713,16.75970299
Temperate,Denmark,DK_12002,2004,212,0.11,0.37,3.77,0.1,15,56.8213,8.7588,erik,2.762465875,5,2297,4.999998951
Temperate,Denmark,DK_13002,2004,212,0.11,1.71,0.98,0.06,15,56.8415,9.4521,erik,7.574489772,21,5773,20.74686122
Temperate,Denmark,DK_13002,2005,212,0.11,1.71,1.47,0.07,15,56.8415,9.4521,erik,4.897534539,16,8282,15.4757422
Temperate,Denmark,DK_14017,2006,212,0.14,0.6,4.69,0.07,15,56.8442,9.8249,erik,3.459804308,11,12483,10.68160446
Temperate,Denmark,DK_15049,2004,212,0.8,0.58,3.78,3.34,15,56.8687,10.1904,erik,4.316310676,13,10187,12.871866
Temperate,Denmark,DK_11001,2005,212,0.47,0.82,1.17,0.04,15,56.9328,8.4105,erik,3.618856184,12,6243,11.99028488
Temperate,Denmark,DK_1029,2004,212,5.73,1.42,1.97,0.1,15,57.0556,8.9686,erik,4.322170002,9,9421,8.856706394
Temperate,Denmark,DK_1003,2005,212,0.08,0.44,0.88,0.02,15,57.0619,8.6209,erik,6.371335896,14,9363,13.99764575
Temperate,Denmark,DK_15046,2007,212,0.05,1.5,1.65,0.23,15,57.0622,10.1936,erik,4.063510615,12,14883,11.82815045
Temperate,Denmark,DK_9013,2005,212,0.44,0.46,2.29,0.07,15,57.0947,9.0564,erik,7.444256687,11,3592,10.99954324
Temperate,Denmark,DK_1018,2005,212,5.38,0.97,1.61,0.05,15,57.1087,9.0421,erik,5.246560892,8,4416,7.998787417
Temperate,Denmark,DK_6053,2006,212,0.08,0.78,2.38,0.16,15,57.2147,10.1574,erik,3.904318508,11,4005,10.99942147
Temperate,Denmark,DK_9106,2005,212,0.29,0.28,2.1,0.04,15,57.2783,10.9783,erik,3.352761261,11,11598,10.89982097
Temperate,Denmark,DK_15048,2007,212,0.06,0.65,2.06,0.74,15,57.3258,10.386,erik,3.875986992,8,7622,7.957015827
Temperate,Denmark,DK_10084,2005,212,0.07,3.14,1.05,0.08,15,59.721,10.2047,erik,1.864678567,7,1885,6.999999849
Temperate,Denmark,DK_21272,2004,212,2.99,4.5,0.74,0.05,15,56.0672,9.6271,erik,3.229058428,11,5418,10.98654013
